Bern_flow,Bern_temperature,BER_ff,BER_qnh,BER_rh,BER_rr,BER_ss,BER_td,BER_tt,brienz_flow,brienz_temperature,interlaken_flow,interlaken_temperature,thun_flow,thun_temperature,hagneck_flow,hagneck_temperature,biel_flow,biel_temperature,THU_ff,THU_qnh,THU_rh,THU_rr,THU_ss,THU_td,THU_tt,INT_ff,INT_qnh,INT_rh,INT_rr,INT_ss,INT_td,INT_tt,BRZ_ff,BRZ_qnh,BRZ_rr,BAN_ff_tow,BAN_rh_tow,BAN_ss,BAN_td_tow,BAN_tt_tow,MSK_ff_tow,MSK_rh_tow,MSK_ss,MSK_td_tow,MSK_tt_tow
68,9.71,3.2,1009.3,98,0,0,3,3.2,18,5.52,40,9.38,61,10.32,80,10.52,136,9.96,4,1009.5,99,0,0,1.7,1.9,1.8,1009.3,95,0,0,5.1,5.9,7.6,1009.4,0,9.4,81.5,0,2.4,5.3,1.4,90.3,0,4.7,6.2
68,9.69,1.8,1009.5,99,0,0,2.3,2.4,18,5.5,40,9.37,61,10.32,81,10.5,136,9.96,4,1009.4,99,0,0,2.1,2.2,1.1,1009.2,95,0,0,5,5.8,7.9,1009.4,0,8.3,80.2,0,2.4,5.5,0.7,90.1,0,4.5,6
68,9.68,0.7,1009.5,98,0,0,2.7,3,17,5.49,40,9.37,61,10.31,81,10.49,136,9.96,1.4,1009.3,99,0,0,2.2,2.3,2.2,1009.2,95,0,0,5.1,5.8,6.8,1009.3,0,12.6,82.1,0,2.4,5.2,0.7,90.2,0,4.4,5.9
68,9.67,1.4,1009.5,99,0,0,2.6,2.8,17,5.5,40,9.37,61,10.31,80,10.47,136,9.96,2.5,1009.3,99,0,0,2.3,2.4,2.2,1009.1,96,0,0,4.7,5.3,6.8,1009.2,0,12.6,81.2,0,2.2,5.2,1.1,90.5,0,4.4,5.8
67,9.66,2.2,1009.3,99,0,0,2.5,2.7,16,5.55,40,9.36,61,10.31,65,10.51,137,9.96,4.7,1009.2,99,0,0,2.8,2.9,4,1009.1,97,0,0,5,5.5,8.3,1009.1,0,12.6,79.8,0,2.2,5.4,4.3,90.8,0,4.4,5.8
67,9.65,1.1,1009.3,98,0,0,3,3.3,15,5.56,40,9.36,61,10.31,66,10.47,137,9.96,2.2,1009.2,99,0,0,2.7,2.9,1.8,1009,95,0,0,5.1,5.9,7.6,1009,0,11.5,79.3,0,2.1,5.4,4.7,90.9,0,4.5,5.9
67,9.65,0.7,1009.3,99,0,0,2.4,2.5,15,5.56,40,9.36,61,10.3,74,10.4,136,9.96,2.2,1009.2,98,0,0,2.7,2.9,2.5,1008.9,95,0,0,5,5.8,7.2,1009,0,10.4,80.2,0,2.3,5.4,6.1,90.9,0,4.5,5.9
67,9.64,2.2,1009.2,97,0,0,2.9,3.3,14,5.57,40,9.36,,,77,10.36,136,9.95,3.6,1009.2,99,0,0,2,2.2,4,1008.9,95,0,0,4.8,5.5,7.2,1008.9,0,15.5,82.1,0,2.4,5.2,5.4,90.4,0,4.5,5.9
67,9.63,2.2,1009.3,98,0,0,2.8,3.1,14,5.57,40,9.36,61,10.3,80,10.38,136,9.96,2.5,1009.2,99,0,0,2,2.1,1.8,1008.9,95,0,0,4.9,5.6,7.2,1008.9,0,15.1,82.4,0,2.4,5.1,5,89.8,0,4.5,6
67,9.62,2.9,1009.3,98,0,0,3.1,3.4,14,5.56,40,9.35,61,10.3,74,10.37,136,9.96,0.4,1009.2,99,0,0,1.6,1.7,1.8,1008.9,96,0,0,4.7,5.3,6.5,1008.9,0,14.8,83,0,2.5,5.1,4.3,89.3,0,4.5,6.1
